date,Alcohol Incidents,Arson Incidents,Assaults,Burglaries,Fed. Offenses,Gambling,Grand Theft Auto,Homicides,Mentally Ill,Misc. Felonies,Narcotics,Robberies,Sex Offenses,Suicides,Vagrancy Incidents,Vandalism,Vehicle Laws,Weapon Laws,Total Crimes
1/1/2005,6124,911,22775,15932,885,24,19652,345,1577,4993,21639,41471,3622,791,607,17127,29900,4316,193159
1/1/2006,6250,883,22476,15683,645,26,17896,305,1690,5002,22846,40830,3645,847,688,18341,32885,4392,195773
1/1/2007,6873,881,23032,16647,688,30,16806,253,2017,5034,27746,43541,3479,868,641,18843,36536,4603,208968
1/1/2008,7313,803,22128,16136,751,36,15630,232,2369,4861,29781,41463,3658,917,937,17082,39660,4438,208641
1/1/2009,6017,673,20342,14467,691,8,12600,200,2056,4583,25255,37849,3240,892,1076,14723,35171,3829,184022
1/1/2010,6486,490,20901,14322,602,32,11790,168,2604,4465,27926,36959,3596,717,958,13198,32415,3756,181709
1/1/2011,5707,467,18349,14121,534,19,11166,156,2449,3838,19416,36257,3151,684,1085,11433,26889,3508,159600
1/1/2012,5546,464,19680,14598,699,30,11319,160,2898,3834,19662,38307,3053,750,870,11559,23350,3391,160536
1/1/2013,4939,404,19418,14281,654,36,10981,155,3276,3651,19846,36921,2938,800,511,10846,22313,3273,155552
1/1/2014,4977,410,20509,12526,619,23,10224,134,3571,3763,19188,35689,3107,1163,537,10846,20034,3115,150735
1/1/2015,4001,477,20990,12971,493,15,12221,178,3754,3369,14644,37720,2183,1041,429,11686,21875,3380,151676
1/1/2016,4126,536,22234,13048,676,27,12885,193,3770,3171,16345,40539,2662,1025,384,12597,21693,3685,159818
