Crime,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alcohol Incidents,6124,6250,6873,7313,6017,6486,5707,5546,4939,4977,4001,4126
Arson Incidents,911,883,881,803,673,490,467,464,404,410,477,536
Assaults,22775,22476,23032,22128,20342,20901,18349,19680,19418,20509,20990,22234
Burglaries,15932,15683,16647,16136,14467,14322,14121,14598,14281,12526,12971,13048
Fed. Offenses,885,645,688,751,691,602,534,699,654,619,493,676
Gambling,24,26,30,36,8,32,19,30,36,23,15,27
Grand Theft Auto,19652,17896,16806,15630,12600,11790,11166,11319,10981,10224,12221,12885
Homicides,345,305,253,232,200,168,156,160,155,134,178,193
Mentally Ill,1577,1690,2017,2369,2056,2604,2449,2898,3276,3571,3754,3770
Misc. Felonies,4993,5002,5034,4861,4583,4465,3838,3834,3651,3763,3369,3171
Narcotics,21639,22846,27746,29781,25255,27926,19416,19662,19846,19188,14644,16345
Robberies,41471,40830,43541,41463,37849,36959,36257,38307,36921,35689,37720,40539
Sex Offenses,3622,3645,3479,3658,3240,3596,3151,3053,2938,3107,2183,2662
Suicides,791,847,868,917,892,717,684,750,800,1163,1041,1025
Vagrancy Incidents,607,688,641,937,1076,958,1085,870,511,537,429,384
Vandalism,17127,18341,18843,17082,14723,13198,11433,11559,10846,10846,11686,12597
Vehicle Laws,29900,32885,36536,39660,35171,32415,26889,23350,22313,20034,21875,21693
Weapon Laws,4316,4392,4603,4438,3829,3756,3508,3391,3273,3115,3380,3685
Total Crimes,193159,195773,208968,208641,184022,181709,159600,160536,155552,150735,151676,159818
